"映像名称","PID","会话名      ","会话#   ","内存使用 "
"ai.exe","14428","Console","1","34,208 K"
"cpptools-srv.exe","5576","Console","1","77,144 K"
"conhost.exe","1520","Console","1","10,520 K"
"OpenDebugAD7.exe","8496","Console","1","41,280 K"
"conhost.exe","19132","Console","1","10,528 K"
"gdb.exe","10916","Console","1","3,244 K"
"conhost.exe","6156","Console","1","10,540 K"
"gdborig.exe","5288","Console","1","21,520 K"
"1.exe","11864","Console","1","3,588 K"
"conhost.exe","8664","Console","1","8,316 K"
"OpenConsole.exe","4280","Console","1","11,996 K"
"WindowsTerminal.exe","20400","Console","1","110,196 K"
"RuntimeBroker.exe","20236","Console","1","11,508 K"
"WmiPrvSE.exe","11872","Services","0","11,616 K"
"SearchProtocolHost.exe","9192","Services","0","14,788 K"
"SearchFilterHost.exe","6992","Services","0","9,468 K"
"cmd.exe","4728","Console","1","3,924 K"
"tasklist.exe","18628","Console","1","8,724 K"
